Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree, SRC, DEST
'FWD_TP_COMM_INTRA_0', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 233.3574391379235, 233.36101828233683, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 233.3789140044035, 259.22721525654435, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 259.22721525654435, 259.2307944009577, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 259.24869012302435, 266.69728399569544, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 266.69728399569544, 266.70086314010877, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 266.71875886217543, 292.5670601143163, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 292.5670601143163, 292.5706392587296, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 292.5885349807963, 300.0371288534674, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 300.0371288534674, 300.0407079978807, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 300.05860371994737, 325.9069049720882, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 325.9069049720882, 325.91048411650155, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 325.9283798385682, 333.3769737112393, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 333.3769737112393, 333.38055285565264, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 333.3984485777193, 359.24674982986016, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 359.24674982986016, 359.2503289742735, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 359.26822469634016, 366.71681856901125, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 366.71681856901125, 366.7203977134246, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 366.73829343549124, 392.5865946876321, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 392.5865946876321, 392.5901738320454, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 392.5865946876321, 392.5901738320454, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
