queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
clustered,low,3600,1,0.001,2,72000.0,69923.97850000001,69957.921,69903.95850000001,1.0291901041484637,0.9995148154845827,0.07719519918174544,0.0001432289561606612,50.0,97.90354818833548,drop
random_avg,low,3600,1,0.001,2,72000.0,69923.97850000001,69972.6252,69903.95850000001,1.028973858609365,0.9993048050897679,0.09823005946078656,0.0001431988619898033,50.0,97.20202581866872,drop
clustered,low,3600,1,0.001,5,72000.0,69923.97850000001,69980.27100000001,69903.95850000001,1.028861405809646,0.999195594712687,0.10916763748078928,5.744476182437189e-05,80.0,96.5509986324223,drop
random_avg,low,3600,1,0.001,5,72000.0,69923.97850000001,70013.8059,69903.95850000001,1.028368640799853,0.9987170379078214,0.15714045721745507,5.741724911132511e-05,80.0,94.95108279106125,drop
clustered,low,3600,1,0.001,10,72000.0,69923.97850000001,70020.229,69903.95850000001,1.028274271996454,0.9986253900997668,0.1663289211296881,2.8848805964344958e-05,90.0,94.54922528967127,drop
random_avg,low,3600,1,0.001,10,72000.0,69923.97850000001,70020.229,69903.95850000001,1.028274271996454,0.9986253900997668,0.16632892112969255,2.8848805964344958e-05,90.0,94.54922528967114,drop
clustered,low,3600,1,0.001,20,72000.0,69923.97850000001,70019.229,69903.95850000001,1.0282889575947771,0.9986396522589531,0.16489838697761883,1.4567426899259344e-05,95.0,94.54922528967127,drop
random_avg,low,3600,1,0.001,20,72000.0,69923.97850000001,70019.22899999999,69903.95850000001,1.0282889575947773,0.9986396522589532,0.1648983869776055,1.4567426899259347e-05,95.0,94.54922528967168,drop
clustered,low,3600,1,0.01,2,72000.0,69924.1585,69958.101,69903.95850000001,1.029187456074601,0.9995148167329472,0.07745269532910548,0.00014580155627723514,50.0,97.90354818833548,drop
random_avg,low,3600,1,0.01,2,72000.0,69924.1585,69972.80519999999,69903.95850000001,1.0289712116480911,0.9993048068780301,0.09848755560815103,0.00014577092165014624,50.0,97.20202581866872,drop
clustered,low,3600,1,0.01,5,72000.0,69924.1585,69980.451,69903.95850000001,1.028858759426972,0.9991955967817355,0.10942513362814932,6.001676096657337e-05,80.0,96.5509986324223,drop
random_avg,low,3600,1,0.01,5,72000.0,69924.1585,70013.9859,69903.95850000001,1.028365996951408,0.9987170412061218,0.15739795336482842,5.998801648883214e-05,80.0,94.95108279106125,drop
clustered,low,3600,1,0.01,10,72000.0,69924.1585,70020.409,69903.95850000001,1.0282716286333031,0.9986253936334477,0.16658641727704815,3.141941087490649e-05,90.0,94.54922528967127,drop
