workload,method,penalty_us,total_cycles,total_ms,normalised_to_fair_universal_static,gain_vs_fair_static_percent,number_of_reconfigurations,selected_candidate_name,graph_hash,selection_signal,evaluation_target,no_leakage,observed_bytes,evaluated_bytes,dominant_bottleneck,sender_bottleneck_time_ms,receiver_bottleneck_time_ms,optical_resource_bottleneck_time_ms,byte_conservation,same_budget_check
qwen_livecodebench_execution,previous-request OCS W=16,0,337856378,337.856378,1.0514058971800024,-5.140589718000244,29,"window_selected_counts={'random_regular_seed_8': 5, 'random_regular_seed_10': 5, 'random_regular_seed_26': 3, 'random_regular_seed_14': 4, 'random_regular_seed_11': 9, 'random_regular_seed_3': 1, 'random_regular_seed_4': 1, 'random_regular_seed_2': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,49479712768,1389438582784,optical_resource,1.717643,0.914916,4.040095,True,True
qwen_livecodebench_execution,static SON / torus,1,1097089829,1097.089829,3.41413331539001,-241.413331539001,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,1389438582784,1389438582784,optical_resource,13.721466,37.66056,295.536371,True,True
qwen_livecodebench_execution,full-prefill-informed decode OCS,1,322421513,322.421513,1.0033727412595976,-0.33727412595976436,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,639855820800,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,prefill10-warmup OCS,1,318264382,318.264382,0.9904357883607839,0.9564211639216067,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,65425473536,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,phase-warmup OCS,1,318375409,318.375409,0.9907813033492451,0.9218696650754893,2,prefill:random_regular_seed_2 decode:random_regular_seed_2,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,140536561664,1389438582784,optical_resource,33.770179,12.349319,75.947138,True,True
qwen_livecodebench_execution,oracle,1,315926359,315.926359,0.9831598825913138,1.6840117408686195,0,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,1389438582784,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,previous-request OCS W=16,1,337885378,337.885378,1.0514961449095221,-5.149614490952205,29,"window_selected_counts={'random_regular_seed_8': 5, 'random_regular_seed_10': 5, 'random_regular_seed_26': 3, 'random_regular_seed_14': 4, 'random_regular_seed_11': 9, 'random_regular_seed_3': 1, 'random_regular_seed_4': 1, 'random_regular_seed_2': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,49479712768,1389438582784,optical_resource,1.717643,0.914916,4.040095,True,True
qwen_livecodebench_execution,static SON / torus,10,1097089829,1097.089829,3.41413331539001,-241.413331539001,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,1389438582784,1389438582784,optical_resource,13.721466,37.66056,295.536371,True,True
qwen_livecodebench_execution,full-prefill-informed decode OCS,10,322430513,322.430513,1.0034007491756554,-0.3400749175655455,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,639855820800,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,prefill10-warmup OCS,10,318273382,318.273382,0.9904637962768418,0.9536203723158255,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,65425473536,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,phase-warmup OCS,10,318393409,318.393409,0.9908373191813608,0.916268081863927,2,prefill:random_regular_seed_2 decode:random_regular_seed_2,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,140536561664,1389438582784,optical_resource,33.770179,12.349319,75.947138,True,True
qwen_livecodebench_execution,oracle,10,315926359,315.926359,0.9831598825913138,1.6840117408686195,0,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,1389438582784,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,previous-request OCS W=16,10,338146378,338.146378,1.0523083744751986,-5.230837447519856,29,"window_selected_counts={'random_regular_seed_8': 5, 'random_regular_seed_10': 5, 'random_regular_seed_26': 3, 'random_regular_seed_14': 4, 'random_regular_seed_11': 9, 'random_regular_seed_3': 1, 'random_regular_seed_4': 1, 'random_regular_seed_2': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,49479712768,1389438582784,optical_resource,1.717643,0.914916,4.040095,True,True
qwen_livecodebench_execution,static SON / torus,25000,1097089829,1097.089829,3.41413331539001,-241.413331539001,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,1389438582784,1389438582784,optical_resource,13.721466,37.66056,295.536371,True,True
qwen_livecodebench_execution,full-prefill-informed decode OCS,25000,347420513,347.420513,1.081169396096177,-8.116939609617699,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,639855820800,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,prefill10-warmup OCS,25000,343263382,343.263382,1.0682324431973633,-6.823244319736328,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,65425473536,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,phase-warmup OCS,25000,368373409,368.373409,1.1463746130224037,-14.63746130224038,2,prefill:random_regular_seed_2 decode:random_regular_seed_2,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,140536561664,1389438582784,optical_resource,33.770179,12.349319,75.947138,True,True
qwen_livecodebench_execution,oracle,25000,315926359,315.926359,0.9831598825913138,1.6840117408686195,0,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,1389438582784,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
