comm_class,start_us,end_us,duration_us,ranks,label
TP,174.554000,174.646000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.0.ffn.dx0@0_X1COMM
TP,174.646000,174.677000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.mha.do1@0_X1COMM
TP,174.646000,174.677000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.mha.do1@0_X1COMM
TP,174.677000,174.708000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.mha.do1@0_X1COMM
TP,174.677000,174.708000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.mha.do1@0_X1COMM
DP,174.708000,175.702000,0.994000,0 1,DP:ALL_REDUCE:mb0.transformer.0._sharded_grad@0_X1COMM
DP,174.708000,175.702000,0.994000,2 3,DP:ALL_REDUCE:mb0.transformer.0._sharded_grad@0_X1COMM
DP,174.708000,175.702000,0.994000,4 5,DP:ALL_REDUCE:mb0.transformer.0._sharded_grad@0_X1COMM
DP,174.708000,175.702000,0.994000,6 7,DP:ALL_REDUCE:mb0.transformer.0._sharded_grad@0_X1COMM
TP,175.702000,175.794000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.0.mha.dx@0_X1COMM
TP,175.702000,175.794000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.0.mha.dx@0_X1COMM
DP,175.794000,176.788000,0.994000,0 1,DP:ALL_REDUCE:mb1.transformer.0._sharded_grad@0_X1COMM
DP,175.794000,176.788000,0.994000,2 3,DP:ALL_REDUCE:mb1.transformer.0._sharded_grad@0_X1COMM
DP,175.794000,176.788000,0.994000,4 5,DP:ALL_REDUCE:mb1.transformer.0._sharded_grad@0_X1COMM
DP,175.794000,176.788000,0.994000,6 7,DP:ALL_REDUCE:mb1.transformer.0._sharded_grad@0_X1COMM
TP,176.788000,176.880000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.0.mha.dx@0_X1COMM
TP,176.788000,176.880000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.0.mha.dx@0_X1COMM
DP,177.076000,259.006000,81.930000,0 1,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
DP,177.076000,259.006000,81.930000,2 3,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
DP,177.076000,259.006000,81.930000,4 5,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
DP,177.076000,259.006000,81.930000,6 7,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
DP,259.006000,340.936000,81.930000,0 2 4 6,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
DP,259.006000,340.936000,81.930000,1 3 5 7,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
